Position,Album,Artists,Total,Daily
576,Charlie,Charlie Puth,2024515085,964249
577,"Hurry Up, We're Dreaming",M83,2023889022,970493
578,What A Time To Be Alive,Drake & Future,2022660976,344370
579,Chosen,Måneskin,2021569379,1099191
580,Sex And Love,Enrique Iglesias,2016230524,931625
581,The Beatles (White Album),The Beatles,2014839558,1027503
582,Harder Than Ever,Lil Baby,2014782303,869184
583,Thank Me Later,Drake,2008965481,947296
584,City Of Angels,Various Artists,2005461608,1479400
585,Millennium,Backstreet Boys,1994177353,1387749
586,Paramore,Paramore,1991141572,912799
587,I Never Liked You,Future,1990675156,1652709
588,Freedom,Akon,1989212637,1351219
589,Mamma Mia! The Movie,Various Artists,1988336575,1236588
590,Data,Tainy,1988179218,2144453
591,JackBoys,Travis Scott & Various Artists,1987690893,691449
592,All The Right Reasons,Nickelback,1986791384,1200575
593,Me 4 U,OMI,1986295682,896967
594,Mis Manos,Camilo,1985859910,722904
595,Sobre El Amor Y Sus Efectos Secundarios... Y Unas Cuantas Cosas Más,Morat,1977560144,966414
596,The Colour And The Shape,Foo Fighters,1975853420,1633659
597,Let Go,Avril Lavigne,1975558238,1503359
598,This Is What ____ Feels Like (Vol. 1-4),Jvke,1975228660,1550068
599,One-X,Three Days Grace,1974092666,1000678
600,Para Aventuras Y Curiosidades,Mau y Ricky,1974083908,382792
601,The Off-Season,J. Cole,1969913183,710492
602,Use Your Illusion I,Guns N' Roses,1968781007,1117850
603,Khaled Khaled,DJ Khaled,1968611642,558559
604,The Click,AJR,1967313333,461868
605,Highway To Hell,AC/DC,1963271551,1750801
606,A/B,Kaleo,1961420081,1525100
607,Staying At Tamara's,George Ezra,1960935419,519195
608,Brightest Blue,Ellie Goulding,1958245604,392891
609,Who Hurt You?,Ali Gatie,1957908676,576073
610,Talking Is Hard,Walk The Moon,1957081027,1457111
611,Continuum,John Mayer,1956212954,858138
612,Americana,The Offspring,1953542792,1385516
613,Manifesto Musical (Ao Vivo),Henrique & Juliano,1947591439,811078
614,Cole World: The Sideline Story,J. Cole,1946593241,1075776
615,Elephant,The White Stripes,1944852975,1603220
616,Think Later,Tate McRae,1940753503,5073259
617,Chase Atlantic,Chase Atlantic,1937777343,1978291
618,Revival,Eminem,1935079479,301916
619,Frozen II,"Robert Lopez, Kristen Anderson-Lopez & Christophe Beck",1928316328,749693
620,Saturno,Rauw Alejandro,1927923935,1961627
621,Nakamura,Aya Nakamura,1927482292,546984
622,0.465972222,Maluma,1927432752,372224
623,Nata Montana,Natanael Cano,1924183936,2678222
624,FutureSex/LoveSounds,Justin Timberlake,1923957304,1158931
625,Circles,Mac Miller,1916177195,809048
626,Take Time,Giveon,1914692671,1198953
627,Making Mirrors,Gotye,1910442461,979984
628,Project Baby 2: All Grown Up,Kodak Black,1906393716,609237
629,Stokeley,Ski Mask The Slump God,1905808337,566404
630,Forever,Alesso,1902999201,796078
631,World Of Walker,Alan Walker,1901324932,1135193
632,Real Hasta La Muerte,Anuel AA,1896487907,1120656
633,Dying To Live,Kodak Black,1894938551,459570
634,Dark Sky Paradise,Big Sean,1893993431,427705
635,Breakaway,Kelly Clarkson,1886555471,1094300
636,Gloria,Sam Smith,1886345567,962824
637,Discovery,Daft Punk,1885383689,888835
638,Wasteland,Brent Faiyaz,1881290037,1511585
639,Emigrante Del Mundo,Lucenzo,1876046001,1619967
640,Brothers In Arms,Dire Straits,1874108767,1099231
641,The Dutchess,Fergie,1874072728,811077
642,Voulez-Vous,ABBA,1872705680,1406579
643,Heartbreak On A Full Moon / Cuffing Season - 12 Days Of Christmas,Chris Brown,1871363801,324476
644,How To Save A Life,The Fray,1871264487,1128167
645,KOD,J. Cole,1871117403,345796
646,Shock Value,Timbaland,1864084720,1617857
647,Life's A Trip,Trippie Redd,1861884439,593672
648,Everything Means Nothing,Blackbear,1855209728,354522
649,Épico,Lunay,1854717990,451275
650,Inter Shibuya - La Mafia,Feid,1848266866,1694480
651,Ubuntu,Piso 21,1847254460,481563
652,The Works,Queen,1844818555,727993
653,Sale El Sol,Shakira,1844032896,876238
654,Reflection,Fifth Harmony,1834486519,340952
655,Me Dejé Llevar,Christian Nodal,1834473127,748301
656,That's The Spirit,Bring Me The Horizon,1833325428,912855
657,Microdosis,Mora,1830768640,1556595
658,Vol. 3: The Subliminal Verses,Slipknot,1824693718,1182546
659,Don't Kill The Magic,Magic!,1823948128,1092763
660,Issa Album,21 Savage,1823525433,330202
661,"Pretty Boy, Dirty Boy",Maluma,1819920607,1217289
662,The Blueprint 3,Jay-Z,1817662683,1241029
663,Gemini,Macklemore,1816857519,645072
664,Save Rock And Roll,Fall Out Boy,1816723638,660836
665,Yours Truly,Ariana Grande,1815602948,718768
666,Meet The Woo,Pop Smoke,1809690600,758696
667,Pablo Honey,Radiohead,1809269639,1327462
668,Rokstarr,Taio Cruz,1807729095,1090696
669,Tha Carter III,Lil Wayne,1807147083,944397
670,Montevallo,Sam Hunt,1806285021,321366
671,The Adventures Of Bobby Ray,B.o.B,1804636942,799763
672,Sueños,Sech,1803533520,387713
673,Poems Of The Past,Powfu,1801979977,562605
674,"Wasteland, Baby!",Hozier,1795921571,1509291
675,Brand New Eyes,Paramore,1792849285,1042480
676,Dopamine,Børns,1792284443,845369
677,Too Young To Be Sad,Tate McRae,1791898159,794188
678,Rush!,Måneskin,1786969415,2842976
679,The Razors Edge,AC/DC,1784527082,1425688
680,Reclassified,Iggy Azalea,1783293291,422905
681,Woodstock,Portugal. The Man,1782299564,580665
682,#3,The Script,1776184152,1220194
683,Camp,Childish Gambino,1774277117,1507743
684,Electra Heart,Marina,1772196011,787598
685,A Fever You Can't Sweat Out,Panic! At The Disco,1771363369,596849
686,Tourist History,Two Door Cinema Club,1770517077,1087105
687,From Under The Cork Tree,Fall Out Boy,1769969462,972884
688,Ferxxocalipsis,Feid,1769669493,5328970
689,Things I Wanted To Tell You,Kina,1769132371,460424
690,Grease,Various Artists,1763345086,856981
691,Here's To The Good Times,Florida Georgia Line,1763093529,545049
692,Sin Miedo (Del Amor Y Otros Demonios) ?,Kali Uchis,1762591602,1042725
693,LSD,"Labrinth, Sia & Diplo",1761565879,565506
694,California Sunrise,Jon Pardi,1760443182,1290533
695,Out Of Time,R.E.M.,1758821039,996505
696,I Am You,YNW Melly,1755355356,554255
697,Hot Space,Queen,1751377818,951766
698,Superache,Conan Gray,1750606527,1380541
699,Ayayay!,Christian Nodal,1748677032,786554
700,Ahora,Reik,1745633621,397511
701,MKTO,MKTO,1745386158,883348
702,Blue Neighbourhood,Troye Sivan,1744874922,244805
703,F.A.M.E.,Chris Brown,1743639014,649022
704,Jack Ü,Skrillex & Diplo,1742999571,347989
705,Chocolate Starfish And The Hot Dog Flavored Water,Limp Bizkit,1742700966,1311920
706,Don Juan,Maluma,1741012893,1778465
707,Babel,Mumford & Sons,1738612000,459475
708,Calm,5 Seconds of Summer,1736172683,619575
709,Wonder,Shawn Mendes,1734452670,415531
710,Feed The Beast,Kim Petras,1730848401,911959
711,Gemini Rights,Steve Lacy,1729947791,1441700
712,Armageddon (The Album),Various Artists,1728861878,994423
713,VHS,X Ambassadors,1728635376,499658
714,The Great Gatsby,Various Artists,1726939379,1286473
715,Only Honest On The Weekend,Becky Hill,1725431900,868453
716,Tha Carter V,Lil Wayne,1722014395,373207
717,Ahora,Christian Nodal,1719935023,992627
718,Pendulum,Creedence Clearwater Revival,1719585779,1752445
719,Mad Love The Prequel,Sean Paul,1718780641,804807
720,Light Of Mine,Kyle,1717026097,228333
721,Last Year Was Complicated,Nick Jonas,1715754027,421598
722,Riot!,Paramore,1714917757,844283
723,Last Day Of Summer,Summer Walker,1714201271,1148133
724,Human,Rag'n'Bone Man,1712538100,728148
725,The London Sessions,Tiësto,1711479831,363863
726,Plastic Beach,Gorillaz,1710982392,1102683
727,Come On Over,Shania Twain,1710877850,1119026
728,DS2,Future,1708861155,682829
729,Gangsta's Paradise,Coolio,1706975462,1269570
730,Bebe,Bebe Rexha,1705638308,1795804
731,Zach Bryan,Zach Bryan,1704122809,5060788
732,Smile,Katy Perry,1702501240,493918
733,X,Chris Brown,1702376753,533094
734,Tango In The Night,Fleetwood Mac,1701947538,0
735,We,Gnash,1697846815,362604
736,Girl,Pharrell Williams,1697705770,494424
737,Melophobia,Cage The Elephant,1697142844,1301867
738,Dreaming Out Loud,OneRepublic,1695089596,843507
739,The Divine Feminine,Mac Miller,1693605200,1002934
740,House Of Pleasure,Plan B,1691597905,2540151
741,Isolation,Kali Uchis,1688611629,1006109
742,Eyes Open,Snow Patrol,1684971016,829222
743,Oral Fixation Vol. 2,Shakira,1684827557,1323798
744,Energy,Disclosure,1678793546,320988
745,Despicable Me 2,"Heitor Pereira, Pierre Coffin & Pharrell Williams",1677193183,605485
746,Joanne,Lady Gaga,1676332129,415910
747,Nicotine,Trevor Daniel,1675952815,558963
748,"Don't Forget About Me, Demos",Dominic Fike,1675285089,2113140
749,Sorry For Party Rocking,LMFAO,1674646598,735747
750,American Heartbreak,Zach Bryan,1673746887,3209307
751,Inside (The Songs),Bo Burnham,1673718116,703059
752,Non-Fiction,Ne-Yo,1672533489,1297004
753,The Book,Yoasobi,1670699100,821789
754,Dangerous Minds,Various Artists,1668245070,1252562
755,In A Perfect World,Kodaline,1664848386,551544
756,Lil Uzi Vert VS. The World,Lil Uzi Vert,1664563676,408696
757,Ugly Is Beautiful,Oliver Tree,1663476893,462992
758,I Decided.,Big Sean,1662861129,143235
759,Uprising,Bob Marley & The Wailers,1661945408,1288958
760,Alone At Prom,Tory Lanez,1661312960,2405010
761,Who You Are,Jessie J,1659986905,823786
762,Artist,A Boogie Wit da Hoodie,1659945160,925830
763,The Script,The Script,1654915963,1520125
764,All Stand Together,Lost Frequencies,1652070535,1949777
765,These Things Happen,G-Eazy,1651944110,720400
766,Kabir Singh (???? ????),Various Artists,1651234197,1732710
767,Come Home The Kids Miss You,Jack Harlow,1645910215,546487
768,Everything Is 4,Jason Derulo,1644395143,421054
769,Deux Frères,PNL,1644096881,599335
770,Tim,Avicii,1640306981,353061
771,Sweet Talker,Jessie J,1636934258,465157
772,La Última Promesa,Justin Quiles,1630496044,309949
773,Fórmula Vol. 1,Romeo Santos,1630431000,1187236
774,Three Cheers For Sweet Revenge,My Chemical Romance,1629894317,1023840
775,Oxymoron,ScHoolboy Q,1629673618,550955
776,The Stranger,Billy Joel,1629193085,1460162
777,New Eyes,Clean Bandit,1629047568,567311
778,Familia,Camila Cabello,1628205723,606499
779,Every Kingdom,Ben Howard,1626181079,406201
780,No Need To Argue,The Cranberries,1624162027,1127132
781,The Lion King,Elton John & Hans Zimmer,1621789891,710970
782,Awake,Skillet,1621059460,967505
783,Everyday Is Christmas,Sia,1620928909,281830
784,Victory,Wisin,1620665737,288836
785,Skins,XXXTentacion,1620365599,820178
786,Breathe,Felix Jaehn,1620139351,256228
787,Still Sleep?,Sleepy Hallow,1618986704,1243110
788,B'Day,Beyoncé,1615800816,683188
789,Mellon Collie And The Infinite Sadness,The Smashing Pumpkins,1610109286,996291
790,Dan + Shay,Dan + Shay,1607464050,381229
791,Come Away With Me,Norah Jones,1607001696,737702
792,Good News,Megan Thee Stallion,1606678230,399607
793,Finally Rich,Chief Keef,1606657407,1069963
794,Mac And Devin Go To High School,Snoop Dogg & Wiz Khalifa,1606314602,622202
795,Tracy Chapman,Tracy Chapman,1602569733,1168933
796,Top Shotta,NLE Choppa,1601239868,686445
797,K.I.D.S.,Mac Miller,1599506293,1445625
798,Raymond V Raymond,Usher,1598571659,1268768
799,Good Things,Dan + Shay,1594695802,382153
800,Crash My Party,Luke Bryan,1593772132,605168
801,In The Zone,Britney Spears,1593213761,1340309
802,Elephunk,Black Eyed Peas,1592581359,1021421
803,Mezmerize,System Of A Down,1585406316,936123
804,The Slow Rush,Tame Impala,1583372904,1201051
805,In Tongues,Joji,1583285186,566201
806,Demons Protected By Angels,Nav,1580049623,436925
807,The 20/20 Experience,Justin Timberlake,1576557523,598486
808,Christmas Kisses,Ariana Grande,1575816724,59116
809,Rage Against The Machine,Rage Against The Machine,1573498129,742766
810,Sempiternal,Bring Me The Horizon,1572578704,756346
811,Northsbest,Lil Mosey,1572016022,242539
812,Is This It,The Strokes,1570378126,1214458
813,xx,The xx,1569047607,493103
814,La La Land,Justin Hurwitz & Various Artists,1568942987,581784
815,In A Tidal Wave Of Mystery,Capital Cities,1568391513,809391
816,Flume,Flume,1566072196,414606
817,Esquemas,Becky G,1564626122,895502
818,Desvelado,Eslabon Armado,1563946210,1194098
819,This Old Dog,Mac DeMarco,1560962917,1493730
820,The Last,Aventura,1560196648,2271159
821,Everybody's Everything,Lil Peep,1554250699,915401
822,The Slim Shady LP,Eminem,1552166238,693872
823,Toast To Our Differences,Rudimental,1551940781,368437
824,Second Helping,Lynyrd Skynyrd,1548873914,734621
825,MTV Unplugged In New York,Nirvana,1548225256,659825
826,King Of Kings,Don Omar,1548203941,1349128
827,PCD,The Pussycat Dolls,1544127865,772568
828,Nellyville,Nelly,1544118931,969747
829,Audioslave,Audioslave,1543839342,948093
830,Vives,Carlos Vives,1543820230,704189
831,Amala,Doja Cat,1542779745,885852
832,The Writing's On The Wall,Destiny's Child,1542092916,696456
833,Hot Shot,Shaggy,1540021218,862479
834,The Papercut Chronicles II,Gym Class Heroes,1537745885,671773
835,Spice,Spice Girls,1536873818,761012
836,Justified,Justin Timberlake,1536632825,931410
837,1984,Van Halen,1535420876,704452
838,Lil Pump,Lil Pump,1533414522,83997
839,What A Time To Be Alive,Tom Walker,1531893290,373300
840,Day69,6ix9ine,1531057364,317802
841,Layover,V,1524936580,3067938
842,Exclusive,Chris Brown,1524368005,796662
843,Music From The Edge Of Heaven,Wham!,1524346082,117930
844,Mutter,Rammstein,1523823703,1448451
845,"Todos Os Cantos, Vol. 1 (Ao Vivo)",Marília Mendonça,1523420402,465710
846,Ao Vivo No Ibirapuera,Henrique & Juliano,1521191737,745063
847,Walking On A Dream,Empire of the Sun,1516883724,1416161
848,Rolling Papers,Wiz Khalifa,1516557101,456191
849,Wrld On Drugs,Future & Juice WRLD,1515738836,315366
850,Stankonia,Outkast,1514296383,1147119
851,Help!,The Beatles,1510058614,853758
852,Steve Lacy's Demo,Steve Lacy,1509260132,1290416
853,Witness,Katy Perry,1508633114,278356
854,Communion,Years & Years,1506452892,469047
855,The Aviary,Galantis,1506260682,282009
856,Unforgiven,Le Sserafim,1505884334,1507191
857,Love.Angel.Music.Baby.,Gwen Stefani,1504978597,887389
858,Skin,Flume,1501596195,552061
859,Whitney,Whitney Houston,1501106047,0
860,Dopamina,Manuel Turizo,1499560604,482621
861,Jason Derulo,Jason Derulo,1499121322,506940
862,Artist 2.0,A Boogie Wit da Hoodie,1495717299,501447
863,Soul Searching,Bazzi,1495633785,419278
864,Who Really Cares,TV Girl,1495574016,2785988
865,The Bigger Artist,A Boogie Wit da Hoodie,1491037163,573988
866,Bobby Tarantino II,Logic,1489675938,173994
867,Urban Hymns,The Verve,1488805981,778820
868,Pronounced 'Leh-'Nérd 'Skin-'Nérd,Lynyrd Skynyrd,1484532819,901834
869,When the Sun Goes Down,Selena Gomez & The Scene,1483873473,749677
870,Songs For Dads,The Walters,1482317976,1788379
871,The Foundation,Zac Brown Band,1481090411,1009217
872,Wunna,Gunna,1480895174,560849
873,Versions Of Me,Anitta,1480074695,409245
874,Beautiful Trauma,P!nk,1478177348,348406
875,#willpower,will.i.am,1477009284,519919
876,A Brief Inquiry Into Online Relationships,The 1975,1476397635,505220
877,The Human Condition,Jon Bellion,1475812502,236217
878,A Love Letter To You 3,Trippie Redd,1474917049,340691
879,All My Demons Greeting Me As A Friend,Aurora,1474000008,697969
880,Ashlyn,Ashe,1473192607,919123
881,Dire Straits,Dire Straits,1470887073,1020831
882,Honeymoon,Lana Del Rey,1470329709,1274831
883,Heartbreak Weather,Niall Horan,1470201680,447158
884,Kill This Love,Blackpink,1469313109,535382
885,Under The Mistletoe,Justin Bieber,1468737864,61862
886,Back To Bedlam,James Blunt,1467644497,525654
887,Islah,Kevin Gates,1467320701,346080
888,One More Light,Linkin Park,1464865392,459511
889,Fuck The World,Brent Faiyaz,1464471218,1146508
890,Diary 001,Clairo,1463503781,1017434
891,The Greatest Showman: Reimagined,Various Artists,1463298210,889296
892,The Documentary,The Game,1461842694,1003964
893,Black Holes And Revelations,Muse,1458942648,908850
894,Nervous System,Julia Michaels,1457267961,280987
895,Pink Friday 2,Nicki Minaj,1456994816,1796004
896,Bloom,Machine Gun Kelly,1455083149,245643
897,Combat Rock,The Clash,1454387738,1006117
898,Layers,Kungs,1452643362,588098
899,Tangled Up,Thomas Rhett,1450527932,323122
900,Southside,Sam Hunt,1449532595,423625
901,Immortalized,Disturbed,1447495491,584656
902,¿A Dónde Vamos?,Morat,1446857783,931785
903,Hndrxx,Future,1446504339,746224
904,Small Town Boy,Duncan Laurence,1443904260,744981
905,Life Changes,Thomas Rhett,1440961897,260884
906,Bleed American,Jimmy Eat World,1440741654,1030242
907,Racine Carrée,Stromae,1440724319,706509
908,Ceremonials,Florence + The Machine,1439185621,611348
909,The Magic Of Christmas / The Christmas Song,Nat King Cole,1438522393,31665
910,"For Emma, Forever Ago",Bon Iver,1436123950,425531
911,The Score,Fugees,1435425720,787578
912,Fantasía,Sebastian Yatra,1435025648,520564
913,Pharmacy,Galantis,1429611465,596131
914,Muerte,Canserbero,1428977455,1259475
915,Esquece O Mundo Lá Fora (Ao Vivo),Zé Neto & Cristiano,1428026771,616879
916,Living Things,Linkin Park,1426931646,604633
917,Inside In / Inside Out,The Kooks,1426750353,755611
918,Master Of Puppets,Metallica,1426174430,837118
919,Thank You,Meghan Trainor,1425825955,490612
920,Love And Sex,Plan B,1425310561,1301539
921,Spider-Man: Across The Spider-Verse,Metro Boomin,1424026616,1695143
922,Harverd Dropout,Lil Pump,1423926743,183757
923,Paper Trail,T.I.,1423743174,521481
924,Prisma,Beret,1420853612,432117
925,Blink-182,Blink-182,1420546462,708802
926,Kane Brown,Kane Brown,1420026508,357977
927,To Hell With It,PinkPantheress,1419782897,1300852
928,The Academy,Various Artists,1417040077,585942
929,Dónde Están Los Ladrones?,Shakira,1413550003,1145387
930,Monkey Business,Black Eyed Peas,1412600091,859717
931,Die For My Bitch,Baby Keem,1411860221,955495
932,All Hope Is Gone,Slipknot,1407827980,876414
933,O My Heart,Mother Mother,1405497966,692668
934,Kaya,Bob Marley & The Wailers,1403818537,971606
935,Infinity On High,Fall Out Boy,1403163750,745751
936,Get Up,NewJeans,1397136201,2364377
937,Immunity,Clairo,1396706280,1053590
938,Sweet Dreams (Are Made Of This),Eurythmics,1395943825,1331154
939,Serotonin Dreams,BoyWithUke,1395484954,785703
940,United,Marvin Gaye & Tammi Terrell,1394393085,809281
941,Hounds Of Love,Kate Bush,1394046048,672714
942,Evol,Future,1393953549,465633
943,Busca Una Mujer,Luis Miguel,1393907291,801802
944,Spirit,Leona Lewis,1392798246,450071
945,Aladdin,Various Artists,1392586972,499034
946,Infest,Papa Roach,1390914330,785292
947,Tea For The Tillerman,Yusuf / Cat Stevens,1389646574,761400
948,Hotel Diablo,Machine Gun Kelly,1388223302,346660
949,Don't Stop The Magic,Grupo Marca Registrada,1388173979,1013003
950,Man On The Moon II: The Legend Of Mr. Rager,Kid Cudi,1387981560,588747
951,Coco,Michael Giacchino & Various Artists,1386992310,538393
952,DS4Ever,Gunna,1385613283,746413
953,Chapter 1: Snake Oil / Chapter 2: Swamp Savant,Diplo,1384148211,1033669
954,Good For You,Aminé,1383556638,188751
955,Free 6lack,6lack,1382547686,230171
956,Munay,Pedro Capó,1380029158,294169
957,Late Night Feelings,Mark Ronson,1379368609,411439
958,Sob Rock,John Mayer,1378664803,521222
959,Taylor Swift,Taylor Swift,1378547491,858012
960,French Exit,TV Girl,1378511333,2195130
961,Chapters,James TW,1378395048,217140
962,Bad Vibes Forever,XXXTentacion,1377469995,863637
963,Lemonade,Beyoncé,1377427226,512195
964,The Miseducation Of Lauryn Hill,Ms. Lauryn Hill,1376736164,1185617
965,Savage Mode,21 Savage,1376636672,328876
966,Baby On Baby,DaBaby,1374383817,166103
967,Colmillo De Leche,Carín León,1373901747,2560821
968,Que Bendición,Banda MS De Sergio Lizárraga,1373511435,717343
969,El Amor En Los Tiempos Del Perreo,Piso 21,1373368070,540387
970,Pink Planet,Pink Sweats,1373081769,434929
971,Pink Tape,Lil Uzi Vert,1372660642,1131212
972,Nothing Happens,Wallows,1372425587,1036248
973,Everything I Didn't Say,Ella Henderson,1371966173,645250
974,Special,Lizzo,1370502748,462269
975,The World Is Yours,Rich The Kid,1370491928,152401
976,The Bodyguard,Whitney Houston & Various Artists,1368665456,669613
977,Dangerous Levels Of Introspection,JP Saxe,1367712290,489672
978,Waking Up,OneRepublic,1366694405,586913
979,Aftermath,The Rolling Stones,1365979438,1114854
980,Fleetwood Mac,Fleetwood Mac,1365410454,790030
981,La Vida Es Una,Myke Towers,1358986899,1161488
982,In A Perfect World...,Keri Hilson,1357200084,1047760
983,Cosmo's Factory,Creedence Clearwater Revival,1355852351,1293694
984,God's Project,Aventura,1353706778,1705843
985,Super Trouper,ABBA,1352832802,1096453
986,Night & Day,The Vamps,1350727566,200883
987,GO:OD AM,Mac Miller,1349797313,436123
988,Climaxxx,Dalex,1349712867,345877
989,Hypnotize,System Of A Down,1349002277,916688
990,Let's Skip To The Wedding,Eyedress,1348940700,1647652
991,Digital Druglord,Blackbear,1348351580,159624
992,Dutty Rock,Sean Paul,1348112245,1017359
993,Paradise Again,Swedish House Mafia,1347866264,1399573
994,The Bends,Radiohead,1346903605,1021755
995,Gorillaz,Gorillaz,1345784797,642536
996,Mal De Amores,Sofía Reyes,1345367735,296297
997,Father Of Asahd,DJ Khaled,1344415498,180356
998,Square Up,Blackpink,1342266044,484670
999,A Day At The Races,Queen,1341675634,616744
"1,000",The Beginning,Fifty Fifty,1340771090,822993
"1,001",Un Besito Más,Jesse & Joy,1339784590,770011
"1,002",Platonicos,Jay Wheeler,1338290449,1218317
"1,003",Sauce Boyz,Eladio Carrion,1338253722,830204
"1,004",Birdy,Birdy,1338251578,408091
"1,005",Dans La Légende,PNL,1338231434,521379
"1,006",Stop Staring At The Shadows,Suicideboys,1338118181,906202
"1,007",Depression Cherry,Beach House,1337863753,1085580
"1,008",LM5,Little Mix,1337245290,191748
"1,009",Rammstein,Rammstein,1337193986,882663
"1,010",Dark Horse,Nickelback,1337166479,776077
"1,011",Motivan2,Zion & Lennox,1336265083,295478
"1,012",CNCO,CNCO,1331775790,230251
"1,013",Boston,Boston,1331211231,639974
"1,014",Journals,Justin Bieber,1329797069,679088
"1,015",Montgomery Ricky,Ricky Montgomery,1329664691,997904
"1,016",Heavy Is The Head,Stormzy,1327890105,356453
"1,017",Eye Of The Tiger,Survivor,1327883265,702501
"1,018",IIII,Robin Schulz,1326070865,214300
"1,019",Trigga,Trey Songz,1325855953,271811
"1,020",Ella Mai,Ella Mai,1325374673,358699
"1,021",Led Zeppelin II,Led Zeppelin,1322868976,495009
"1,022",Hasta La Raíz,Natalia Lafourcade,1321915633,926325
"1,023",Ascend,Illenium,1320323153,261579
"1,024",Austin,Post Malone,1320030464,1746365
"1,025",New Jeans,NewJeans,1319035000,1230614
"1,026",Off The Wall,Michael Jackson,1318758376,769247
"1,027",AI YoungBoy 2,YoungBoy Never Broke Again,1317944788,653441
"1,028",Cry,Cigarettes After Sex,1316966873,1807481
"1,029",A Town Called Paradise,Tiësto,1315066584,186504
"1,030",The Queen Is Dead,The Smiths,1314936352,1102612
"1,031",Gravity,Gryffin,1312963568,240101
"1,032","Everybody Else Is Doing It, So Why Can't We?",The Cranberries,1311193022,1665464
"1,033",Astronomical,Masked Wolf,1311142405,324244
"1,034",Let It Be,The Beatles,1311079346,722757
"1,035",Hatful Of Hollow,The Smiths,1310642455,1173221
"1,036",Is There Anybody Out There?,A Great Big World,1310422091,275783
"1,037",Sauce Boyz 2,Eladio Carrion,1308996648,1127155
"1,038",High School Musical: The Musical: The Series,Various Artists,1308139352,662081
"1,039",Ride The Lightning,Metallica,1307906772,819806
"1,040",Weezer (Blue Album),Weezer,1305750970,865069
"1,041",Circus,Britney Spears,1305440893,734315
"1,042",Angel Face,Stephen Sanchez,1304093781,1845731
"1,043",Santana World,Tay-K,1303865589,630089
"1,044",13 Reasons Why (Season 3),Various artists,1303003729,462609
"1,045","Control The Streets, Volume 2",Various Artists,1301895578,427682
"1,046",Destin,Ninho,1301749107,521940
"1,047",Prestige,Daddy Yankee,1298595672,802176
"1,048",Goodbye Yellow Brick Road,Elton John,1297725289,849169
"1,049",Evil Genius,Gucci Mane,1296175979,610729
"1,050",Too Low For Zero,Elton John,1296123653,1242699
"1,051",PartyNextDoor,PartyNextDoor,1295210869,1052121
"1,052",SR3MM,Rae Sremmurd,1294868957,133356
"1,053",Dance Fruits Music,Various Artists,1294545816,218944
"1,054",MTV Unplugged: Música De Fondo,Zoé,1293594200,730648
"1,055",Bouquet,The Chainsmokers,1292014660,257963
"1,056",Sad Boyz 4 Life II,Junior H,1290494742,5030265
"1,057",Street Gossip,Lil Baby,1290238515,778640
"1,058",Green River,Creedence Clearwater Revival,1287371423,1206060
"1,059",The End Of Everything,Noah Cyrus,1285835806,1173503
"1,060",The Diary Of Alicia Keys,Alicia Keys,1285744770,750687
"1,061",Year Of The Gentleman,Ne-Yo,1284763194,953585
"1,062",Full Moon Fever,Tom Petty,1284667424,813751
"1,063",Funhouse,P!nk,1282835897,529351
"1,064",The Search For Everything,John Mayer,1282361855,302688
"1,065","Too Weird To Live, Too Rare To Die!",Panic! At The Disco,1280964265,214695
"1,066",Clarity,Zedd,1280807686,397737
"1,067",Purgatory,Tyler Childers,1278106410,1029729
"1,068",In My Own Words,Ne-Yo,1278045025,778476
"1,069",Take Off Your Pants And Jacket,Blink-182,1277670141,585905
"1,070",I Am Not A Human Being II,Lil Wayne,1277596531,866333
"1,071",Slipknot,Slipknot,1277569440,897529
"1,072",Our Version Of Events,Emeli Sandé,1277174075,264495
"1,073",The Perfect Luv Tape,Lil Uzi Vert,1277114866,341752
"1,074",Lost On You,LP,1276806488,626331
"1,075",Collision Course,Jay-Z & Linkin Park,1272792031,506972
"1,076",New English,Desiigner,1270265265,167743
"1,077",La Rueda De La Fortuna,Alfredo Olivas,1267605298,1180657
"1,078",Bright: The Album,Various Artists,1267039647,256255
"1,079",Dancing With The Devil…The Art of Starting Over,Demi Lovato,1265509835,192262
"1,080",Painting Pictures,Kodak Black,1265490247,428617
"1,081",Imagination & The Misfit Kid,Labrinth,1265166675,646760
"1,082",A Good Friend Is Nice,Jack & Jack,1264400099,175624
"1,083",Rubber Soul,The Beatles,1264025164,851173
"1,084",Superunknown,Soundgarden,1263101636,748528
"1,085",No Me Pidas Perdón,Banda MS De Sergio Lizárraga,1262675534,846506
"1,086",Neon Future III,Steve Aoki,1262448372,151295
"1,087",Corridos Tumbados,"Natanael Cano, Junior H & Dan Sanchez",1262256770,962143
"1,088",Up 2 Më,Yeat,1261432507,797068
"1,089",La Familia,J Balvin,1260588762,605672
"1,090",2,Mac DeMarco,1259405522,916004
"1,091",O Céu Explica Tudo (Ao Vivo),Henrique & Juliano,1257792743,1688324
"1,092",Nibiru,Ozuna,1256410192,200278
"1,093",The Getaway,Red Hot Chili Peppers,1254658194,412019
"1,094",Manuel Medrano,Manuel Medrano,1254474064,781561
"1,095",Brett Young,Brett Young,1253872110,384067
"1,096",Laundry Service,Shakira,1253519401,693267
"1,097",Atlas,The Score,1253354701,425436
"1,098",Jeffery,Young Thug,1252364701,332247
"1,099",Primera Cita,CNCO,1251850345,298813
"1,100",...Baby One More Time,Britney Spears,1251752421,1077926
